Testing parameters 
Current time: 14:32:43 

Best: 
26
Tests 
Velikosti dim: 
16;18;20;22;24;26;28;30;
Velikosti matrik: 
500;600;700;800;900;1000;1100;1200;1300;1400;
Parameter: 16
500;106;
600;187;
700;302;
800;437;
900;610;
1000;838;
1100;1175;
1200;1489;
1300;1862;
1400;2402;
Parameter: 18
500;106;
600;187;
700;302;
800;437;
900;611;
1000;830;
1100;1086;
1200;1490;
1300;1865;
1400;2405;
Parameter: 20
500;106;
600;177;
700;303;
800;437;
900;611;
1000;825;
1100;1092;
1200;1410;
1300;1864;
1400;2406;
Parameter: 22
500;106;
600;177;
700;306;
800;437;
900;611;
1000;826;
1100;1088;
1200;1411;
1300;1788;
1400;2433;
Parameter: 24
500;105;
600;178;
700;288;
800;437;
900;612;
1000;826;
1100;1088;
1200;1409;
1300;1798;
1400;2296;
Parameter: 26
500;107;
600;178;
700;287;
800;415;
900;611;
1000;825;
1100;1087;
1200;1409;
1300;1800;
1400;2262;
Parameter: 28
500;107;
600;177;
700;284;
800;415;
900;611;
1000;826;
1100;1087;
1200;1409;
1300;1800;
1400;2349;
Parameter: 30
500;106;
600;177;
700;288;
800;416;
900;624;
1000;828;
1100;1087;
1200;1410;
1300;1783;
1400;2295;
